T/K,Pexp/kPa,x,¦Ñ/molar dm-3),Z
350.011,317.9,1,0.112727938,0.969050386
350.015,232.55,1,0.081748924,0.977499917
350.012,169.7,1,0.059282608,0.983650219
350.009,123.61,1,0.042986872,0.988115324
350.02,89.938,1,0.031172689,0.99139149
350.017,65.377,1,0.022605942,0.993761863
350.02,47.483,1,0.016390322,0.99546708
350.011,34.477,1,0.011886249,0.996717432
340.01,1336.3,1,0.56204975,0.841020545
340.005,1018,1,0.407645625,0.883382464
339.995,764.51,1,0.29566086,0.914715188
340.001,568.43,1,0.214420896,0.937775268
339.996,419.67,1,0.155503118,0.954693797
339.99,308.28,1,0.112772978,0.967037338
340.006,225.64,1,0.081775948,0.976052115
339.987,164.73,1,0.059305128,0.982623671
339.99,120.03,1,0.043004889,0.98735862
340.002,87.34,1,0.031181697,0.990834351
340.013,63.495,1,0.022610446,0.993353802
340.003,46.136,1,0.016399329,0.995176663
340.008,33.497,1,0.011890753,0.996498209
329.999,979.51,1,0.407821284,0.875377638
329.991,737.61,1,0.29578247,0.908910991
329.999,549.46,1,0.214506474,0.933581292
330.001,406.18,1,0.155561671,0.951633595
329.987,298.64,1,0.112818019,0.964809924
330.006,218.73,1,0.081807477,0.974456832
329.985,159.75,1,0.059327649,0.981428389
329.983,116.45,1,0.043022905,0.986545873
329.997,84.755,1,0.031195209,0.990231005
330.003,61.623,1,0.022619454,0.992914631
330.009,44.778,1,0.016403834,0.994861527
330.01,32.517,1,0.011895257,0.996273635
320.002,710.51,1,0.295886064,0.902530896
320.003,530.36,1,0.214583043,0.928945848
320.001,392.63,1,0.155620224,0.948276949
319.998,288.97,1,0.112854052,0.962404011
319.999,211.79,1,0.081839005,0.972670116
319.992,154.76,1,0.059345665,0.980166117
320.001,112.85,1,0.043036417,0.985560312
319.999,82.166,1,0.031208721,0.989547475
320.013,59.752,1,0.022628462,0.992427677
