T,P,X1,rho,RHOcal,P_cal,Dev_P,Dev_RHO,Bm,Cm
358.15,1.013,1013,76.603,7.99010690532225e-05,1.27985015472294e+18,1.2634256216416e+20,-99.9998956945954,-35627.4820830931,956150226.161514
363.15,1.032,1032,76.589,8.49789096729773e-05,1.30320988167476e+18,1.26280027294066e+20,-99.9998890455422,-46078.4456020911,960723637.731335
368.15,1.0508,1050.8,76.574,8.86758454329266e-05,1.31824518598976e+18,1.25451578415471e+20,-99.9998841958818,-52675.4953553096,959172645.225933
373.15,1.0696,1069.6,76.56,8.98026508904267e-05,1.32577545594515e+18,1.23950584886421e+20,-99.9998827029116,-53900.66985534,952248201.790888
378.15,1.0884,1088.4,76.545,8.73036892525766e-05,1.32565416212529e+18,1.21798434594386e+20,-99.9998859446218,-48112.5092972522,940123760.059865
383.15,1.1072,1107.2,76.53,8.07309613277928e-05,1.31788848975186e+18,1.19028945967473e+20,-99.9998945106999,-33571.5905735922,922962353.802729
388.15,1.1259,1125.9,76.516,7.08588115433844e-05,1.30213573244358e+18,1.15652876138519e+20,-99.9999073934712,-8449.98239459912,900676911.101425
393.15,1.1444,1144.4,76.501,5.97560127118422e-05,1.27794404804441e+18,1.11669350580602e+20,-99.9999218885861,29130.4398261387,873214863.428685
328.15,0.7095,709.5,58.074,6.34009856751955e-05,2.10159462631432e+17,2.96207840213435e+19,-99.9998908272451,23986.109843959,393278268.93515
333.15,0.7239,723.9,58.064,6.5584943547497e-05,2.23971363176243e+17,3.09395445746986e+19,-99.9998870471487,18420.3161909026,413048049.125605
338.15,0.7381,738.1,58.053,6.88138043343374e-05,2.36013730050224e+17,3.197584745295e+19,-99.9998814638273,11382.5284758262,429064675.791569
343.15,0.7521,752.1,58.042,7.31645791029442e-05,2.46282060051892e+17,3.2745919432508e+19,-99.9998739454548,3277.63213947872,441459328.143851
348.15,0.766,766,58.031,7.86575315586687e-05,2.54869743732382e+17,3.32728124977e+19,-99.9998644560122,-5381.17989932859,450547821.865155
